Set,Name,Theme,Year,Parts,Store,Cost,Discount
11010-1,White Baseplate,Classic,2020,1,"The Brick Guy 22(BrickOwl, US)","CFA6,471Avg: CFA5,056",-
30574-1,Cat,Creator,2020,55,"3_BRICKS(BrickOwl, SI)","CFA4,059Avg: CFA3,171",-
75215-1,Cloud-Rider Swoop Bikes,Star Wars,2018,355,"eBay US(eBay, US)","CFA22,666Avg: CFA17,709",-
30624-1,Obi-Wan Kenobi - Collectible Minifigure,Star Wars,2019,12,"PikkaBrikka(BrickOwl, CZ)","CFA11,386Avg: CFA8,895",-
71377-1,King Boo and the Haunted Yard Expansion Set,Super Mario,2020,431,"Amazon US(Amazon, US)","CFA39,811Avg: CFA31,100",-
41599-1,Wonder Woman,Brickheadz,2018,143,"A brick per day e.U.(BrickOwl, AT)","CFA13,662Avg: CFA10,670",-
76011-1,Batman: Man-Bat Attack,Super Heroes DC,2014,185,"TimsBrickHouse(BrickOwl, US)","CFA23,178Avg: CFA18,102",-
76075-1,Wonder Woman Warrior Battle,Super Heroes DC,2017,286,"1brick4all(BrickOwl, IT)","CFA38,046Avg: CFA29,710",-
41319-1,Snow Resort Hot Chocolate Van,Friends,2017,246,"eBay US(eBay, US)","CFA21,041Avg: CFA16,430",-
21046-1,Empire State Building,Architecture,2019,1767,"ubertoys.eu(BrickOwl, BE)","CFA79,669Avg: CFA62,211",-
5525-1,Amusement Park,Factory,2005,1339,"Missing Brick(BrickLink, US)","CFA74,473Avg: CFA58,151",-
76108-1,Sanctum Santorum Showdown,Super Heroes Marvel,2018,1026,"BrickMashUp(BrickLink, US)","CFA94,413Avg: CFA73,717",-
75093-1,Death Star Final Duel,Star Wars,2015,724,"1brick4all(BrickOwl, IT)","CFA78,059Avg: CFA60,936",-
10278-1,Police Station,Modular Buildings,2021,2924,"Amazon US(Amazon, US)","CFA166,209Avg: CFA129,749",-
75276-1,Stormtrooper,Star Wars,2020,647,"3_BRICKS(BrickOwl, SI)","CFA57,686Avg: CFA45,013",-
60123-1,Volcano Supply Helicopter,Town,2016,330,"1brick4all(BrickOwl, IT)","CFA38,701Avg: CFA30,196",-
40127-1,Space Shuttle,LEGO Brand Store,2015,39,"3_BRICKS(BrickOwl, SI)","CFA5,667Avg: CFA4,422",-
75186-1,The Arrowhead,Star Wars,2017,774,"A brick per day e.U.(BrickOwl, AT)","CFA79,398Avg: CFA61,934",-
30529-1,Mini Master-Building Emmet,The LEGO Movie,2019,49,"Amazon US(Amazon, US)","CFA4,047Avg: CFA3,157",-
30111-1,The Lab,Harry Potter,2011,34,"Brick Takeover(BrickOwl, DE)","CFA10,870Avg: CFA8,479",-
88007-1,Color & Distance Sensor,Power Functions,2019,1,"3_BRICKS(BrickOwl, SI)","CFA14,569Avg: CFA11,361",-
41255-1,Pop Village Celebration,Trolls: World Tour,2020,384,"3_BRICKS(BrickOwl, SI)","CFA36,192Avg: CFA28,222",-
70632-1,Quake Mech,Ninjago,2017,1202,"3_BRICKS(BrickOwl, SI)","CFA69,227Avg: CFA53,983",-
71044-1,Disney Train and Station,Disney,2019,2927,"3_BRICKS(BrickOwl, SI)","CFA262,027Avg: CFA204,316",-
10915-1,Alphabet Truck,Duplo,2020,36,"3_BRICKS(BrickOwl, SI)","CFA21,840Avg: CFA17,029",-
75239-1,Action Battle Hoth Generator Attack,Star Wars,2019,235,"3_BRICKS(BrickOwl, SI)","CFA21,795Avg: CFA16,994",-
60262-1,Passenger Airplane,Town,2020,669,"ubertoys.eu(BrickOwl, BE)","CFA77,864Avg: CFA60,709",-
70751-1,Temple of Airjitzu,Ninjago,2015,2030,"Exclusive DK bricks(BrickLink, DK)","CFA220,708Avg: CFA172,078",-
70751-1,Temple of Airjitzu,Ninjago,2015,2030,"MY OWN STORE(BrickLink, DK)","CFA220,708Avg: CFA172,078",-
70629-1,Piranha Attack,Ninjago,2017,217,"1brick4all(BrickOwl, IT)","CFA16,399Avg: CFA12,785",-
30413-1,Flower Cart,Friends,2021,55,"shop-bricks(BrickOwl, DE)","CFA4,559Avg: CFA3,554",-
60186-1,Mining Heavy Driller,Town,2018,294,"1brick4all(BrickOwl, IT)","CFA32,142Avg: CFA25,052",-
30528-1,Mini Master-Building MetalBeard,The LEGO Movie,2019,42,"A brick per day e.U.(BrickOwl, AT)","CFA3,649Avg: CFA2,844",-
76067-1,Tanker Truck Takedown,Super Heroes Marvel,2016,330,"eBay US(eBay, US)","CFA35,051Avg: CFA27,316",-
70419-1,Wrecked Shrimp Boat,Hidden Side,2019,310,"3_BRICKS(BrickOwl, SI)","CFA22,465Avg: CFA17,507",-
31083-1,Cruising Adventures,Creator,2018,597,"1brick4all(BrickOwl, IT)","CFA41,981Avg: CFA32,715",-
41169-1,Olaf,Disney,2019,122,"3_BRICKS(BrickOwl, SI)","CFA12,478Avg: CFA9,721",-
21321-1,International Space Station,LEGO Ideas and CUUSOO,2020,864,"3_BRICKS(BrickOwl, SI)","CFA68,625Avg: CFA53,448",-
79015-1,Witch-King Battle,The Hobbit and Lord of the Rings,2014,101,"We-Like-It Bricks(BrickLink, US)","CFA23,745Avg: CFA18,493",-
41357-1,Olivia's Heart Box,Friends,2019,85,"3_BRICKS(BrickOwl, SI)","CFA7,259Avg: CFA5,654",-
40410-1,Charles Dickens Tribute,Seasonal,2020,333,"eBay US(eBay, US)","CFA32,374Avg: CFA25,212",-
42112-1,Cement Mixer,Technic,2020,1161,"3_BRICKS(BrickOwl, SI)","CFA74,468Avg: CFA57,976",-
42088-1,Cherry Picker,Technic,2019,155,"eBay US(eBay, US)","CFA8,203Avg: CFA6,385",-
9286-1,Large Building Plates,Educational and Dacta,1998,4,"3_BRICKS(BrickOwl, SI)","CFA31,196Avg: CFA24,281",-
6610-1,Shell Petrol Pumps,Town,1981,29,"Set Shop Boy(BrickOwl, DE)","CFA117,416Avg: CFA91,380",-
31100-1,Sports Car,Creator,2020,134,"3_BRICKS(BrickOwl, SI)","CFA7,483Avg: CFA5,823",-
40220-1,London Bus,Creator,2016,118,"Brickshop UK(BrickOwl, GB)","CFA14,489Avg: CFA11,275",-
10247-1,Ferris Wheel,Creator,2015,2464,"mysets(BrickLink, DE)","CFA194,988Avg: CFA151,656",-
42115-1,Lamborghini Sián FKP 37,Technic,2020,3696,"steinwerk24_com(BrickOwl, DE)","CFA272,222Avg: CFA211,723",-
42096-1,Porsche 911 RSR,Technic,2019,1580,"ubertoys.eu(BrickOwl, BE)","CFA101,641Avg: CFA79,038",-
31199-1,Marvel Studios Iron Man,LEGO Art,2020,3167,"3_BRICKS(BrickOwl, SI)","CFA95,442Avg: CFA74,198",-
60281-1,Fire Rescue Helicopter,Town,2021,212,"3_BRICKS(BrickOwl, SI)","CFA25,451Avg: CFA19,786",-
10894-1,Toy Story Train,Duplo,2019,21,"3_BRICKS(BrickOwl, SI)","CFA14,976Avg: CFA11,642",-
60246-1,Police Station,Town,2020,731,"3_BRICKS(BrickOwl, SI)","CFA74,864Avg: CFA58,188",-
40288-1,BB-8,Star Wars,2018,48,"3_BRICKS(BrickOwl, SI)","CFA15,592Avg: CFA12,117",-
30534-1,Ninja Workout,Ninjago,2019,31,"Amazon US(Amazon, US)","CFA4,835Avg: CFA3,758",-
60216-1,Downtown Fire Brigade,Town,2019,943,"3_BRICKS(BrickOwl, SI)","CFA75,639Avg: CFA58,767",-
60228-1,Deep Space Rocket and Launch Control,Town,2019,837,"3_BRICKS(BrickOwl, SI)","CFA76,353Avg: CFA59,318",-
80101-1,Chinese New Year's Eve Dinner,Chinese Traditional Festivals,2019,616,"1brick4all(BrickOwl, IT)","CFA130,535Avg: CFA101,397",-
70908-1,The Scuttler,Super Heroes DC,2017,775,"1brick4all(BrickOwl, IT)","CFA64,284Avg: CFA49,931",-
76897-1,1985 Audi Sport quattro S1,Speed Champions,2020,253,"BRICKS & BOOKS QLD(BrickOwl, AU)","CFA16,620Avg: CFA12,909",-
41628-1,Princess Leia Organa,Brickheadz,2018,124,"3_BRICKS(BrickOwl, SI)","CFA15,740Avg: CFA12,226",-
75140-1,Resistance Troop Transporter,Star Wars,2016,646,"eBay US(eBay, US)","CFA51,268Avg: CFA39,814",-
30163-1,Thor and the Cosmic Cube,Super Heroes Marvel,2012,25,"We-Like-It Bricks(BrickOwl, US)","CFA6,800Avg: CFA5,280",-
71043-1,Hogwarts Castle,Harry Potter,2018,6020,"eBay IT(eBay, IT)","CFA327,978Avg: CFA254,640",-
21322-1,Pirates of Barracuda Bay,LEGO Ideas and CUUSOO,2020,2546,"3_BRICKS(BrickOwl, SI)","CFA176,854Avg: CFA137,288",-
75947-1,Hagrid's Hut: Buckbeak's Rescue,Harry Potter,2019,496,"A brick per day e.U.(BrickOwl, AT)","CFA49,195Avg: CFA38,186",-
60256-1,Racing Cars,Town,2020,190,"Brick Takeover(BrickOwl, DE)","CFA17,086Avg: CFA13,261",-
40424-1,Winter Snowball Fight,Seasonal,2020,149,"eBay US(eBay, US)","CFA14,026Avg: CFA10,884",-
41908-1,Extra DOTS - Series 1,DOTS,2020,99,"3_BRICKS(BrickOwl, SI)","CFA3,747Avg: CFA2,907",-
41326-1,Friends Advent Calendar 2017,Seasonal,2017,217,"3_BRICKS(BrickOwl, SI)","CFA20,574Avg: CFA15,960",-
2000430-1,Identity and Landscape Kit,Educational and Dacta,2013,2844,"steinwerk24_com(BrickOwl, DE)","CFA514,893Avg: CFA399,400",-
41449-1,Andrea's Family House,Friends,2021,806,"Amazon US(Amazon, US)","CFA56,659Avg: CFA43,946",-
21310-1,Old Fishing Store,LEGO Ideas and CUUSOO,2017,2057,"Sonic Boom Bricks(BrickLink, US)","CFA213,165Avg: CFA165,325",-
42043-1,Mercedes-Benz Arocs 3245,Technic,2015,2793,"rapidos2(BrickLink, CA)","CFA242,819Avg: CFA188,305",-
70612-1,Green Ninja Mech Dragon,Ninjago,2017,544,"YOUR DREAM BUILDING Store(BrickLink, CA)","CFA43,696Avg: CFA33,878",-
30497-1,First Order Heavy Assault Walker,Star Wars,2017,54,"PikkaBrikka(BrickOwl, CZ)","CFA4,285Avg: CFA3,322",-
75212-1,Kessel Run Millennium Falcon,Star Wars,2018,1414,"3_BRICKS(BrickOwl, SI)","CFA121,036Avg: CFA93,829",-
76143-1,Avengers Truck Take-down,Super Heroes Marvel,2020,486,"A brick per day e.U.(BrickOwl, AT)","CFA32,440Avg: CFA25,148",-
71732-1,Epic Battle Set - Jay vs. Serpentine,Ninjago,2021,78,"Amazon US(Amazon, US)","CFA7,550Avg: CFA5,850",-
71721-1,Skull Sorcerer's Dragon,Ninjago,2020,1016,"1brick4all(BrickOwl, IT)","CFA64,284Avg: CFA49,813",-
40440-1,German Shepherd and Puppy,Brickheadz,2021,247,"A brick per day e.U.(BrickOwl, AT)","CFA13,631Avg: CFA10,562",-
70912-1,Arkham Asylum,Super Heroes DC,2017,1622,"3_BRICKS(BrickOwl, SI)","CFA141,487Avg: CFA109,618",-
31002-1,Super Racer,Creator,2013,121,"1brick4all(BrickOwl, IT)","CFA11,807Avg: CFA9,147",-
75810-1,The Upside Down,Stranger Things,2019,2287,"ubertoys.eu(BrickOwl, BE)","CFA168,222Avg: CFA130,313",-
41403-1,Mia's Play Cube,Friends,2020,41,"3_BRICKS(BrickOwl, SI)","CFA8,743Avg: CFA6,772",-
40298-1,DJ,Star Wars,2018,22,"3_BRICKS(BrickOwl, SI)","CFA7,070Avg: CFA5,476",-
70913-1,Scarecrow Fearful Face-off,Super Heroes DC,2017,141,"1brick4all(BrickOwl, IT)","CFA14,431Avg: CFA11,177",-
75254-1,AT-ST Raider,Star Wars,2019,540,"1brick4all(BrickOwl, IT)","CFA45,261Avg: CFA35,055",-
76081-1,The Milano vs. The Abilisk,Super Heroes Marvel,2017,462,"Basteq(BrickLink, DK)","CFA68,935Avg: CFA53,386",-
850632-1,Battle Pack,Ninjago,2013,36,"Stuk on Bricks(BrickLink, US)","CFA18,618Avg: CFA14,418",-
75144-1,Snowspeeder,Star Wars,2017,1703,"1brick4all(BrickOwl, IT)","CFA196,131Avg: CFA151,860",-
75928-1,Blue's Helicopter Pursuit,Jurassic World,2018,397,"1brick4all(BrickOwl, IT)","CFA38,701Avg: CFA29,963",-
42095-1,Remote-Controlled Stunt Racer,Technic,2019,324,"1brick4all(BrickOwl, IT)","CFA58,380Avg: CFA45,198",-
70905-1,The Batmobile,Super Heroes DC,2017,581,"1brick4all(BrickOwl, IT)","CFA49,197Avg: CFA38,086",-
60222-1,Snow Groomer,Town,2019,197,"A brick per day e.U.(BrickOwl, AT)","CFA16,489Avg: CFA12,765",-
70823-1,Emmet's Thricycle!,The LEGO Movie,2019,174,"3_BRICKS(BrickOwl, SI)","CFA12,105Avg: CFA9,370",-
45603-1,Medium Angular Motor,Educational and Dacta,2020,1,"Amazon US(Amazon, US)","CFA26,956Avg: CFA20,864",-
42098-1,Car Transporter,Technic,2019,2493,"eBay IT(eBay, IT)","CFA110,857Avg: CFA85,803",-
71736-1,Boulder Blaster,Ninjago,2021,449,"3_BRICKS(BrickOwl, SI)","CFA30,541Avg: CFA23,636",-
43188-1,Aurora's Forest Cottage,Disney Princess,2020,300,"3_BRICKS(BrickOwl, SI)","CFA31,029Avg: CFA24,013",-
60186-1,Mining Heavy Driller,Town,2018,294,"eBay US(eBay, US)","CFA32,374Avg: CFA25,052",-
70431-1,The Lighthouse of Darkness,Hidden Side,2020,548,"1brick4all(BrickOwl, IT)","CFA41,325Avg: CFA31,978",-
75877-1,Mercedes-AMG GT3,Speed Champions,2017,203,"RUBRICK by majonas(BrickLink, DE)","CFA27,574Avg: CFA21,333",-
40312-1,Street Lamps,Xtra,2018,34,"shop-bricks(BrickOwl, DE)","CFA4,559Avg: CFA3,527",-
10955-1,Animal Train,Duplo,2021,15,"Amazon UK(Amazon, GB)","CFA15,229Avg: CFA11,779",-
75146-1,Star Wars Advent Calendar 2016,Seasonal,2016,282,"eBay US(eBay, US)","CFA26,978Avg: CFA20,865",-
10263-1,Winter Village Fire Station,Seasonal,2018,1166,"YourBrickSupply(BrickOwl, NL)","CFA81,995Avg: CFA63,392",-
70618-1,Destiny's Bounty,Ninjago,2017,2296,"eBay IT(eBay, IT)","CFA137,744Avg: CFA106,491",-
75277-1,Boba Fett,Star Wars,2020,625,"3_BRICKS(BrickOwl, SI)","CFA54,647Avg: CFA42,244",-
75268-1,Snowspeeder,Star Wars,2020,91,"3_BRICKS(BrickOwl, SI)","CFA14,976Avg: CFA11,577",-
70422-1,Shrimp Shack Attack,Hidden Side,2019,579,"1brick4all(BrickOwl, IT)","CFA38,701Avg: CFA29,915",-
30498-1,Imperial AT-Hauler,Star Wars,2018,49,"3_BRICKS(BrickOwl, SI)","CFA4,840Avg: CFA3,740",-
76169-1,Thor Mech Armor,Super Heroes Marvel,2021,139,"Amazon US(Amazon, US)","CFA9,708Avg: CFA7,502",-
10953-1,Unicorn,Duplo,2021,8,"3_BRICKS(BrickOwl, SI)","CFA7,635Avg: CFA5,899",-
10244-1,Fairground Mixer,Creator,2014,1745,"shop-bricks(BrickOwl, DE)","CFA163,956Avg: CFA126,656",-
41148-1,Elsa's Magical Ice Palace,Disney Princess,2017,701,"eBay US(eBay, US)","CFA59,362Avg: CFA45,854",-
30361-1,Fire ATV,Town,2019,39,"shop-bricks(BrickOwl, DE)","CFA3,247Avg: CFA2,508",-
70833-1,Lucy’s Builder Box!,The LEGO Movie,2019,141,"3_BRICKS(BrickOwl, SI)","CFA24,209Avg: CFA18,699",-
41455-1,Unikingdom Creative Brick Box,Unikitty!,2018,433,"3_BRICKS(BrickOwl, SI)","CFA35,338Avg: CFA27,291",-
42092-1,Rescue Helicopter,Technic,2019,325,"3_BRICKS(BrickOwl, SI)","CFA24,957Avg: CFA19,273",-
10272-1,Old Trafford - Manchester United,Creator,2020,3898,"Hollie's Bricks(BrickOwl, GB)","CFA228,012Avg: CFA176,085",-
7789-1,Lotso's Dump Truck,Toy Story,2010,129,"1brick4all(BrickOwl, IT)","CFA23,614Avg: CFA18,235",-
4195-1,Queen Anne's Revenge,Pirates of the Caribbean,2011,1097,"sigbrick(BrickLink, DK)","CFA432,587Avg: CFA333,966",-
60233-1,Donut Shop Opening,Town,2019,790,"1brick4all(BrickOwl, IT)","CFA64,940Avg: CFA50,125",-
79117-1,Turtle Lair Invasion,Teenage Mutant Ninja Turtles,2014,888,"1brick4all(BrickOwl, IT)","CFA97,738Avg: CFA75,440",-
40260-1,Halloween Haunt,Seasonal,2017,145,"MyBrickUK(BrickOwl, GB)","CFA12,956Avg: CFA10,000",-
70841-1,Benny's Space Squad,The LEGO Movie,2019,68,"Save-A-Brick(BrickOwl, NL)","CFA9,820Avg: CFA7,579",-
75294-1,Bespin Duel,Star Wars,2020,295,"Amazon US(Amazon, US)","CFA82,568Avg: CFA63,710",-
70436-1,Phantom Fire Truck 3000,Hidden Side,2020,760,"A brick per day e.U.(BrickOwl, AT)","CFA53,670Avg: CFA41,412",-
40378-1,Goofy and Pluto,Brickheadz,2020,214,"3_BRICKS(BrickOwl, SI)","CFA18,712Avg: CFA14,437",-
30453-1,Captain Marvel and Nick Fury,Super Heroes Marvel,2020,32,"We-Like-It Bricks(BrickOwl, US)","CFA6,476Avg: CFA4,995",-
9469-1,Gandalf Arrives,The Hobbit and Lord of the Rings,2012,83,"The Brick Workshop(BrickLink, ID)","CFA30,586Avg: CFA23,593",-
70908-1,The Scuttler,Super Heroes DC,2017,775,"A brick per day e.U.(BrickOwl, AT)","CFA64,734Avg: CFA49,931",-
31100-1,Sports Car,Creator,2020,134,"Whit’s Bricks(BrickOwl, US)","CFA7,550Avg: CFA5,823",-
60228-1,Deep Space Rocket and Launch Control,Town,2019,837,"A brick per day e.U.(BrickOwl, AT)","CFA76,914Avg: CFA59,318",-
30567-1,Police Water Scooter,Town,2021,33,"3_BRICKS(BrickOwl, SI)","CFA3,818Avg: CFA2,944",-
4552-1,Cargo Crane,Train,1995,282,"Set Shop Boy(BrickOwl, DE)","CFA196,131Avg: CFA151,242",-
76157-1,Wonder Woman vs. Cheetah,Super Heroes DC,2020,371,"We-Like-It Bricks(BrickOwl, US)","CFA36,427Avg: CFA28,088",-
60198-1,Cargo Train,Town,2018,1226,"A Few Good Sets(BrickOwl, AU)","CFA134,650Avg: CFA103,806",-
41055-1,Cinderella’s Romantic Castle,Disney Princess,2014,647,"We-Like-It Bricks(BrickOwl, US)","CFA94,710Avg: CFA72,999",-
30331-1,The Nether Duel,Minecraft,2021,37,"3_BRICKS(BrickOwl, SI)","CFA4,139Avg: CFA3,190",-
75948-1,Hogwarts Clock Tower,Harry Potter,2019,926,"ubertoys.eu(BrickOwl, BE)","CFA71,632Avg: CFA55,210",-
21125-1,The Jungle Tree House,Minecraft,2016,707,"eBay US(eBay, US)","CFA83,647Avg: CFA64,460",-
75203-1,Hoth Medical Chamber,Star Wars,2018,255,"1brick4all(BrickOwl, IT)","CFA28,862Avg: CFA22,241",-
30591-1,Titanium Mini Mech,Ninjago,2021,77,"3_BRICKS(BrickOwl, SI)","CFA3,818Avg: CFA2,942",-
75958-1,Beauxbatons' Carriage: Arrival at Hogwarts,Harry Potter,2019,431,"A brick per day e.U.(BrickOwl, AT)","CFA38,279Avg: CFA29,496",-
41608-1,Han Solo,Brickheadz,2018,141,"A brick per day e.U.(BrickOwl, AT)","CFA10,513Avg: CFA8,101",-
21050-1,Architecture Studio,Architecture,2013,1211,"Brick Ideas(BrickLink, US)","CFA269,824Avg: CFA207,904",-
21050-1,Architecture Studio,Architecture,2013,1211,"Bippity Bricks(BrickLink, US)","CFA269,829Avg: CFA207,904",-
60223-1,Harvester Transport,Town,2019,358,"1brick4all(BrickOwl, IT)","CFA25,582Avg: CFA19,710",-
75950-1,Aragog's Lair,Harry Potter,2018,157,"Bricks War Store(BrickLink, MY)","CFA13,352Avg: CFA10,287",-
71700-1,Jungle Raider,Ninjago,2020,127,"Amazon US(Amazon, US)","CFA8,311Avg: CFA6,402",-
71702-1,Golden Mech,Ninjago,2020,489,"eBay US(eBay, US)","CFA29,681Avg: CFA22,864",-
30464-1,El Fuego's Stunt Cannon,Hidden Side,2020,46,"3_BRICKS(BrickOwl, SI)","CFA4,366Avg: CFA3,363",-
70902-1,Catwoman Catcycle Chase,Super Heroes DC,2017,139,"A brick per day e.U.(BrickOwl, AT)","CFA18,271Avg: CFA14,069",-
10247-1,Ferris Wheel,Creator,2015,2464,"Martins' store(BrickLink, PT)","CFA196,951Avg: CFA151,656",-
10232-1,Palace Cinema,Modular Buildings,2013,2194,"BrickALeg(BrickOwl, MY)","CFA182,944Avg: CFA140,869",-
10247-1,Ferris Wheel,Creator,2015,2464,"play with bricks(BrickLink, PT)","CFA196,958Avg: CFA151,656",-
10273-1,Haunted House,Creator,2020,3232,"Amazon UK(Amazon, GB)","CFA205,813Avg: CFA158,436",-
40391-1,First Order Stormtrooper,Brick Sketches,2020,151,"Amazon UK(Amazon, GB)","CFA19,087Avg: CFA14,692",-
40422-1,Frankenstein,Brickheadz,2020,108,"3_BRICKS(BrickOwl, SI)","CFA15,592Avg: CFA12,001",-
5001623-1,Jor-El,Super Heroes DC,2013,5,"Venusia Bricks(BrickOwl, BE)","CFA9,839Avg: CFA7,573",-
75941-1,Indominus rex vs. Ankylosaurus,Jurassic World,2020,536,"A brick per day ...(BrickLink, AT)","CFA88,530Avg: CFA68,136",-
60219-1,Construction Loader,Town,2019,88,"Amazon US(Amazon, US)","CFA8,683Avg: CFA6,683",-
70656-1,"garmadon, Garmadon, GARMADON!",Ninjago,2017,829,"1brick4all(BrickOwl, IT)","CFA83,962Avg: CFA64,611",-
60149-1,4x4 with Catamaran,Town,2017,198,"1brick4all(BrickOwl, IT)","CFA17,055Avg: CFA13,124",-
40302-1,Become My City Hero,Town,2018,85,"3_BRICKS(BrickOwl, SI)","CFA4,623Avg: CFA3,557",-
75936-1,Jurassic Park: T.rex Rampage,Jurassic World,2019,3120,"Amazon UK(Amazon, GB)","CFA199,217Avg: CFA153,286",-
76080-1,Ayesha's Revenge,Super Heroes Marvel,2017,324,"eBay US (eBay, US)","CFA32,374Avg: CFA24,909",-
7093-1,Skeleton Tower,Castle,2007,400,"Set Shop Boy(BrickOwl, DE)","CFA196,131Avg: CFA150,891",-
10264-1,Corner Garage,Modular Buildings,2019,2569,"ubertoys.eu(BrickOwl, BE)","CFA156,416Avg: CFA120,329",-
76048-1,Iron Skull Sub Attack,Super Heroes Marvel,2016,335,"A BRICK TOO FAR...(BrickOwl, US)","CFA32,374Avg: CFA24,901",-
40312-1,Street Lamps,Xtra,2018,34,"Brick Takeover(BrickOwl, DE)","CFA4,585Avg: CFA3,527",-
60195-1,Arctic Mobile Exploration Base,Town,2018,786,"1brick4all(BrickOwl, IT)","CFA78,059Avg: CFA60,037",-
60221-1,Diving Yacht,Town,2019,149,"3_BRICKS(BrickOwl, SI)","CFA15,132Avg: CFA11,638",-
42052-1,Heavy Lift Helicopter,Technic,2016,1042,"Replay Toy Cavern(BrickOwl, GB)","CFA114,387Avg: CFA87,972",-
72006-1,Axl's Rolling Arsenal,Nexo Knights,2018,603,"TimsBrickHouse(BrickOwl, US)","CFA48,569Avg: CFA37,353",-
75941-1,Indominus rex vs. Ankylosaurus,Jurassic World,2020,536,"Sunnybricks(BrickLink, NL)","CFA88,598Avg: CFA68,136",-
10243-1,Parisian Restaurant,Modular Buildings,2014,2470,"TDH Bricks(BrickLink, CZ)","CFA157,639Avg: CFA121,223",-
30568-1,Skater,Town,2021,40,"3_BRICKS(BrickOwl, SI)","CFA3,818Avg: CFA2,936",-
75272-1,Sith TIE Fighter,Star Wars,2020,470,"A brick per day e.U.(BrickOwl, AT)","CFA58,116Avg: CFA44,686",-
60198-1,Cargo Train,Town,2018,1226,"3_BRICKS(BrickOwl, SI)","CFA135,008Avg: CFA103,806",-
70920-1,Egghead Mech Food Fight,Super Heroes DC,2018,291,"A brick per day e.U.(BrickOwl, AT)","CFA27,349Avg: CFA21,027",-
75059-1,Sandcrawler,Star Wars,2014,3296,"1brick4all(BrickOwl, IT)","CFA287,965Avg: CFA221,398",-
42073-1,BASH!,Technic,2018,139,"eBay US(eBay, US)","CFA16,184Avg: CFA12,443",-
75870-1,Chevrolet Corvette Z06,Speed Champions,2016,176,"eBay US(eBay, US)","CFA43,167Avg: CFA33,186",-
8836-1,Sky Ranger,Technic,1993,273,"Set Shop Boy(BrickOwl, DE)","CFA91,178Avg: CFA70,085",-
70435-1,Newbury Abandoned Prison,Hidden Side,2020,400,"A brick per day e.U.(BrickOwl, AT)","CFA32,176Avg: CFA24,730",-
40343-1,Spider-Man and the Museum Break-In,Super Heroes Marvel,2019,49,"Amazon US(Amazon, US)","CFA15,105Avg: CFA11,607",-
79015-1,Witch-King Battle,The Hobbit and Lord of the Rings,2014,101,"Missing Brick(BrickLink, US)","CFA24,069Avg: CFA18,493",-
60209-1,Sky Police Diamond Heist,Town,2019,400,"eBay US(eBay, US)","CFA40,474Avg: CFA31,097",-
75140-1,Resistance Troop Transporter,Star Wars,2016,646,"1brick4all(BrickOwl, IT)","CFA51,821Avg: CFA39,814",-
71025-1,Video Game Champ,Collectible Minifigures,2019,7,"3_BRICKS(BrickOwl, SI)","CFA3,128Avg: CFA2,403",-
41611-1,Marty McFly & Doc Brown,Brickheadz,2018,240,"PikkaBrikka(BrickOwl, CZ)","CFA35,475Avg: CFA27,253",-
30573-1,Santa,Seasonal,2019,67,"United Parts(BrickOwl, GB)","CFA3,622Avg: CFA2,783",-
30342-1,Lamborghini Huracán Super Trofeo EVO,Speed Champions,2020,70,"A brick per day e.U.(BrickOwl, AT)","CFA5,641Avg: CFA4,332",-
71716-1,Lloyd Avatar - Arcade Pod,Ninjago,2020,49,"Amazon US(Amazon, US)","CFA10,227Avg: CFA7,853",-
31097-1,Townhouse Pet Shop & Café,Creator,2019,969,"A brick per day e.U.(BrickOwl, AT)","CFA60,723Avg: CFA46,623",-
41775-1,Rainbow Unikitty,Unikitty!,2018,15,"shop-bricks(BrickOwl, DE)","CFA3,096Avg: CFA2,377",-
40254-1,Nutcracker,Seasonal,2017,230,"PikkaBrikka(BrickOwl, CZ)","CFA20,261Avg: CFA15,555",-
2000709-1,Machines & Mechanisms Replacement Pack 2,Educational and Dacta,2015,42,"3_BRICKS(BrickOwl, SI)","CFA7,483Avg: CFA5,744",-
30540-1,Yellow Flyer,Creator,2018,43,"3_BRICKS(BrickOwl, SI)","CFA3,942Avg: CFA3,026",-
75168-1,Yoda's Jedi Starfighter,Star Wars,2017,262,"1brick4all(BrickOwl, IT)","CFA24,926Avg: CFA19,132",-
10221-1,Super Star Destroyer,Star Wars,2011,3152,"If Britney Bought Bricks(BrickLink, US)","CFA674,519Avg: CFA517,703",-
10692-1,Creative Bricks,Classic,2015,221,"3_BRICKS(BrickOwl, SI)","CFA12,105Avg: CFA9,290",-
75290-1,Mos Eisley Cantina,Star Wars,2020,3187,"3_BRICKS(BrickOwl, SI)","CFA327,978Avg: CFA251,707",-
30575-1,Train,Creator,2020,59,"bricktoys4boys(BrickOwl, US)","CFA4,317Avg: CFA3,313",-
40374-1,Golden Zane Minifigure Accessory Set,Ninjago,2020,73,"A brick per day e.U.(BrickOwl, AT)","CFA15,636Avg: CFA11,997",-
21152-1,The Pirate Ship Adventure,Minecraft,2019,386,"Amazon UK(Amazon, GB)","CFA34,308List: CFA38,121Avg: CFA29,248",-
40271-1,Bunny,Brickheadz,2018,126,"TB Brick Store(BrickOwl, BE)","CFA10,627Avg: CFA8,151",-
7965-1,Millennium Falcon,Star Wars,2011,1254,"Set Shop Boy(BrickOwl, DE)","CFA163,333Avg: CFA125,278",-
